"요일별","시간대별","월별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"일","00시-02시","전체","사고건수[건]","건","2640","2203","2096","2195","2009","1839","1677","1718","1507","1084","1208",
"일","00시-02시","전체","사망자수[명]","명","76","80","58","65","65","47","28","34","29","41","21",
"일","00시-02시","전체","부상자수[명]","명","4383","3685","3543","3603","3265","3007","2735","2763","2373","1605","1891",
"일","00시-02시","1월","사고건수[건]","건","218","169","120","127","198","168","153","123","109","68","79",
"일","00시-02시","1월","사망자수[명]","명","6","5","5","6","4","4","3","1","3","3","1",
"일","00시-02시","1월","부상자수[명]","명","349","337","193","207","317","292","259","235","175","85","126",
"일","00시-02시","2월","사고건수[건]","건","232","133","155","152","155","150","140","130","130","67","48",
"일","00시-02시","2월","사망자수[명]","명","6","7","3","8","1","7","2","3","1","2","0",
"일","00시-02시","2월","부상자수[명]","명","414","253","256","254","265","243","263","195","200","104","68",
"일","00시-02시","3월","사고건수[건]","건","182","211","240","211","140","128","113","180","138","93","70",
"일","00시-02시","3월","사망자수[명]","명","5","15","8","5","7","3","3","5","2","3","0",
"일","00시-02시","3월","부상자수[명]","명","277","338","406","337","254","209","188","275","227","137","107",
"일","00시-02시","4월","사고건수[건]","건","325","197","144","187","217","174","167","125","138","87","113",
"일","00시-02시","4월","사망자수[명]","명","11","10","4","3","9","7","3","5","3","1","1",
"일","00시-02시","4월","부상자수[명]","명","543","312","257","320","335","285","256","202","232","133","183",
"일","00시-02시","5월","사고건수[건]","건","189","187","183","206","189","129","142","127","151","100","139",
"일","00시-02시","5월","사망자수[명]","명","5","8","5","6","3","2","1","6","2","3","1",
"일","00시-02시","5월","부상자수[명]","명","331","294","307","330","313","218","213","197","226","150","221",
"일","00시-02시","6월","사고건수[건]","건","169","230","195","174","144","126","137","162","139","92","108",
"일","00시-02시","6월","사망자수[명]","명","6","5","3","3","4","3","3","3","3","5","1",
"일","00시-02시","6월","부상자수[명]","명","278","365","363","293","227","180","231","291","200","126","196",
"일","00시-02시","7월","사고건수[건]","건","270","169","182","158","196","187","154","129","128","110","134",
"일","00시-02시","7월","사망자수[명]","명","10","2","2","4","4","9","4","3","2","5","4",
"일","00시-02시","7월","부상자수[명]","명","416","283","310","264","325","313","237","210","213","163","201",
"일","00시-02시","8월","사고건수[건]","건","157","120","207","187","139","150","138","116","138","94","92",
"일","00시-02시","8월","사망자수[명]","명","0","4","7","5","8","2","2","0","2","4","5",
"일","00시-02시","8월","부상자수[명]","명","252","236","349","308","194","242","194","183","215","146","149",
"일","00시-02시","9월","사고건수[건]","건","200","198","124","160","123","130","149","159","115","48","80",
"일","00시-02시","9월","사망자수[명]","명","6","7","3","5","6","2","3","1","2","2","4",
"일","00시-02시","9월","부상자수[명]","명","353","318","211","264","190","211","262","247","191","71","119",
"일","00시-02시","10월","사고건수[건]","건","172","160","150","171","204","180","120","118","113","117","136",
"일","00시-02시","10월","사망자수[명]","명","3","6","2","5","8","2","2","0","3","5","1",
"일","00시-02시","10월","부상자수[명]","명","286","238","252","268","342","292","201","195","182","180","200",
"일","00시-02시","11월","사고건수[건]","건","219","210","219","263","153","130","104","134","141","114","101",
"일","00시-02시","11월","사망자수[명]","명","4","4","13","10","4","3","1","2","3","3","3",
"일","00시-02시","11월","부상자수[명]","명","354","338","352","426","254","209","189","190","230","178","149",
"일","00시-02시","12월","사고건수[건]","건","307","219","177","199","151","187","160","215","67","94","108",
"일","00시-02시","12월","사망자수[명]","명","14","7","3","5","7","3","1","5","3","5","0",
"일","00시-02시","12월","부상자수[명]","명","530","373","287","332","249","313","242","343","82","132","172",
"일","02시-04시","전체","사고건수[건]","건","1733","1645","1506","1581","1329","1288","1187","1173","960","521","664",
"일","02시-04시","전체","사망자수[명]","명","65","39","46","49","45","45","27","34","32","13","24",
"일","02시-04시","전체","부상자수[명]","명","2946","2665","2493","2536","2056","2129","1856","1825","1529","767","949",
"일","02시-04시","1월","사고건수[건]","건","146","116","107","117","146","128","89","78","62","22","27",
"일","02시-04시","1월","사망자수[명]","명","9","3","2","8","4","6","1","2","1","0","0",
"일","02시-04시","1월","부상자수[명]","명","241","174","167","187","214","212","142","115","112","36","41",
"일","02시-04시","2월","사고건수[건]","건","123","99","122","107","94","98","101","107","94","34","23",
"일","02시-04시","2월","사망자수[명]","명","3","3","6","1","3","6","2","0","1","0","0",
"일","02시-04시","2월","부상자수[명]","명","203","151","216","189","145","154","177","166","153","52","31",
"일","02시-04시","3월","사고건수[건]","건","120","172","174","138","94","89","90","108","82","55","25",
"일","02시-04시","3월","사망자수[명]","명","3","3","3","6","3","3","4","3","1","2","1",
"일","02시-04시","3월","부상자수[명]","명","219","280","304","228","148","135","133","175","130","71","39",
"일","02시-04시","4월","사고건수[건]","건","197","116","116","129","138","123","103","94","65","43","39",
"일","02시-04시","4월","사망자수[명]","명","10","6","5","4","4","3","5","7","2","0","3",
"일","02시-04시","4월","부상자수[명]","명","329","207","183","227","232","192","159","142","99","59","50",
"일","02시-04시","5월","사고건수[건]","건","117","149","112","169","136","79","111","85","117","56","86",
"일","02시-04시","5월","사망자수[명]","명","2","3","3","4","3","3","0","2","8","2","5",
"일","02시-04시","5월","부상자수[명]","명","205","236","186","271","207","129","168","133","185","83","124",
"일","02시-04시","6월","사고건수[건]","건","108","150","156","122","104","98","87","112","94","52","63",
"일","02시-04시","6월","사망자수[명]","명","5","2","3","6","4","1","1","2","2","0","3",
"일","02시-04시","6월","부상자수[명]","명","177","245","257","178","155","190","149","199","152","77","85",
"일","02시-04시","7월","사고건수[건]","건","180","128","103","161","106","140","88","90","74","44","101",
"일","02시-04시","7월","사망자수[명]","명","9","6","3","2","6","3","2","4","2","1","3",
"일","02시-04시","7월","부상자수[명]","명","320","200","170","238","165","236","147","144","107","75","160",
"일","02시-04시","8월","사고건수[건]","건","105","110","136","144","102","121","109","80","104","31","47",
"일","02시-04시","8월","사망자수[명]","명","5","0","3","7","3","2","2","0","5","0","1",
"일","02시-04시","8월","부상자수[명]","명","152","188","253","228","168","221","148","123","169","42","63",
"일","02시-04시","9월","사고건수[건]","건","151","180","132","88","87","87","103","112","62","29","56",
"일","02시-04시","9월","사망자수[명]","명","3","2","6","3","1","5","3","3","3","1","0",
"일","02시-04시","9월","부상자수[명]","명","245","304","198","139","134","142","154","169","98","43","82",
"일","02시-04시","10월","사고건수[건]","건","114","113","92","111","139","95","99","89","77","44","76",
"일","02시-04시","10월","사망자수[명]","명","6","4","5","3","5","4","3","5","2","1","2",
"일","02시-04시","10월","부상자수[명]","명","196","191","138","186","223","143","151","121","118","78","98",
